otime,o,h,l,c,vol,ctime,quoteAssetVolume,nTrades,buyBaseAssetV,buyQuoteAssetV,unused
2022-08-25,1656.56,1722.00000000,1653.68000000,1705.08,537031.1226,2022-08-25 23:59:59.999,911431878.36845800,767183.0,276683.07970000,469574953.75497500,0
2022-08-24,1665.4,1694.13000000,1604.92000000,1656.56,744667.6078,2022-08-24 23:59:59.999,1228169659.88739400,993324.0,371514.76370000,612965815.58277700,0
2022-08-23,1624.65,1676.07000000,1563.76000000,1665.41,940246.932,2022-08-23 23:59:59.999,1528222432.85183100,1195279.0,466987.52630000,758906669.97707500,0
2022-08-22,1618.13,1629.72000000,1529.92000000,1624.66,941192.8954,2022-08-22 23:59:59.999,1483442567.23626500,1193059.0,468265.27690000,738188886.42197700,0
2022-08-21,1576.03,1646.52000000,1562.34000000,1618.13,780662.6062,2022-08-21 23:59:59.999,1255041865.22443500,1000876.0,396587.44190000,637725950.43034600,0
2022-08-20,1609.0,1657.08000000,1523.67000000,1576.04,914615.9226,2022-08-20 23:59:59.999,1468671141.09012200,1130991.0,454267.11050000,729678631.79778400,0
2022-08-19,1846.39,1848.00000000,1602.37000000,1609.01,1419826.9515,2022-08-19 23:59:59.999,2447147973.00589100,1681256.0,675272.29330000,1163737621.67823500,0
2022-08-18,1834.24,1882.37000000,1821.25000000,1846.39,606254.024,2022-08-18 23:59:59.999,1126844899.60774600,848806.0,296464.27380000,551092134.36411300,0
2022-08-17,1876.67,1959.43000000,1818.74000000,1834.25,951824.8975,2022-08-17 23:59:59.999,1781033503.42342600,1179058.0,470464.10070000,880482286.43105400,0
2022-08-16,1899.05,1915.00000000,1853.00000000,1876.67,622729.1499,2022-08-16 23:59:59.999,1173013843.33804800,908578.0,305961.05570000,576443560.66698500,0
2022-08-15,1935.32,2012.47000000,1872.31000000,1899.06,949162.3305,2022-08-15 23:59:59.999,1824203091.99566700,1295615.0,470951.53290000,905389296.66333500,0
2022-08-14,1983.55,2030.00000000,1906.00000000,1935.31,569583.4852,2022-08-14 23:59:59.999,1122186881.22395100,856767.0,284978.81080000,561687887.38430400,0
2022-08-13,1958.28,2020.00000000,1946.50000000,1983.55,695876.0293,2022-08-13 23:59:59.999,1382235354.29249100,940869.0,359352.47120000,713880075.11279600,0
2022-08-12,1880.19,1964.71000000,1853.06000000,1958.28,717628.1015,2022-08-12 23:59:59.999,1363895150.81011300,1027178.0,365935.01700000,695903467.37316700,0
2022-08-11,1853.58,1942.00000000,1850.32000000,1880.19,1105261.9009,2022-08-11 23:59:59.999,2093718964.80063200,1324999.0,571243.89190000,1082235762.98020600,0
2022-08-10,1702.76,1885.00000000,1656.78000000,1853.57,1317767.5127,2022-08-10 23:59:59.999,2346974815.06705600,1590681.0,685632.88560000,1223921617.95825900,0
2022-08-09,1777.05,1790.83000000,1667.93000000,1702.76,818171.1019,2022-08-09 23:59:59.999,1406671817.08567300,1062267.0,398475.05390000,684898876.00059700,0
2022-08-08,1700.2,1818.00000000,1693.87000000,1777.05,781620.5443,2022-08-08 23:59:59.999,1379905145.70302100,987727.0,403146.57800000,711839570.83093400,0
2022-08-07,1690.6,1729.79000000,1668.00000000,1700.19,439904.764,2022-08-07 23:59:59.999,745750151.38208700,692491.0,226220.14160000,383519031.53658200,0
2022-08-06,1736.81,1749.93000000,1685.26000000,1690.6,523314.6444,2022-08-06 23:59:59.999,899479880.98720900,752873.0,273243.84840000,469642311.61818300,0
